Fecha y hora	Nombre de archivo	Error	Mensaje
2016-04-18 12:53:46.556 -0500	Contactos.fmp12	0	Importación de operaciones iniciada
2016-04-18 12:53:46.558 -0500	Contactos.fmp12	0	Importación de tablas desde el archivo “ImprimartNom” iniciada
2016-04-18 12:53:46.561 -0500	ImprimartNom	0	campos importados : 2
2016-04-18 12:53:46.563 -0500	Contactos.fmp12	0	tablas importados : 1
2016-04-18 12:53:46.563 -0500	Contactos.fmp12	0	Importación completada
2016-04-18 12:53:46.565 -0500	Contactos.fmp12	0	Importación de operaciones consignada
2016-04-18 12:53:46.566 -0500	Contactos.fmp12	0	==================================================================
2016-04-18 17:43:07.940 -0500	contactosIntelisis.fmp12	0	Importación de operaciones iniciada
2016-04-18 17:43:07.941 -0500	contactosIntelisis.fmp12	0	Importación de tablas desde el archivo “ImprimartNom” iniciada
2016-04-18 17:43:08.127 -0500	ImprimartNom	0	campos importados : 247
2016-04-18 17:43:08.128 -0500	contactosIntelisis.fmp12	0	tablas importados : 1
2016-04-18 17:43:08.128 -0500	contactosIntelisis.fmp12	0	Importación completada
2016-04-18 17:43:08.129 -0500	contactosIntelisis.fmp12	0	Importación de operaciones consignada
2016-04-18 17:43:08.130 -0500	contactosIntelisis.fmp12	0	==================================================================
2016-04-18 22:32:35.658 -0500	ContacIntelisis.fmp12	0	Importación de operaciones iniciada
2016-04-18 22:32:35.681 -0500	ContacIntelisis.fmp12	0	Importación de tablas desde el archivo “ImprimartNom” iniciada
2016-04-18 22:32:36.114 -0500	ImprimartNom	0	campos importados : 283
2016-04-18 22:32:36.125 -0500	ContacIntelisis.fmp12	0	tablas importados : 1
2016-04-18 22:32:36.126 -0500	ContacIntelisis.fmp12	0	Importación completada
2016-04-18 22:32:36.127 -0500	ContacIntelisis.fmp12	0	Importación de operaciones consignada
2016-04-18 22:32:36.128 -0500	ContacIntelisis.fmp12	0	==================================================================
2016-04-18 22:50:07.041 -0500	ContacIntelisis.fmp12	0	Importación de operaciones iniciada
2016-04-18 22:50:07.042 -0500	ContacIntelisis.fmp12	0	Importación de tablas desde el archivo “ImprimartNom” iniciada
2016-04-18 22:50:07.043 -0500	ContacIntelisis.fmp12	0	Tabla
2016-04-18 22:50:07.359 -0500	ImprimartNom 2	0	campos importados : 283
2016-04-18 22:50:07.360 -0500	ContacIntelisis.fmp12	0	tablas importados : 1
2016-04-18 22:50:07.361 -0500	ContacIntelisis.fmp12	0	Importación completada
2016-04-18 22:50:07.362 -0500	ContacIntelisis.fmp12	0	Importación de operaciones consignada
2016-04-18 22:50:07.362 -0500	ContacIntelisis.fmp12	0	==================================================================
2016-04-18 22:53:36.092 -0500	ContacIntelisis.fmp12	0	Importación de operaciones iniciada
2016-04-18 22:53:36.094 -0500	ContacIntelisis.fmp12	0	Importación de tablas desde el archivo “ImprimartNom” iniciada
2016-04-18 22:53:36.381 -0500	ImprimartNom	0	campos importados : 283
2016-04-18 22:53:36.381 -0500	ContacIntelisis.fmp12	0	tablas importados : 1
2016-04-18 22:53:36.382 -0500	ContacIntelisis.fmp12	0	Importación completada
2016-04-18 22:53:36.383 -0500	ContacIntelisis.fmp12	0	Importación de operaciones consignada
2016-04-18 22:53:36.384 -0500	ContacIntelisis.fmp12	0	==================================================================
2016-04-18 23:02:29.222 -0500	ContacIntelisis.fmp12	0	Importación de operaciones iniciada
2016-04-18 23:02:29.223 -0500	ContacIntelisis.fmp12	0	Importación de tablas desde el archivo “ImprimartNom” iniciada
2016-04-18 23:02:29.224 -0500	ContacIntelisis.fmp12	0	Tabla
2016-04-18 23:02:29.225 -0500	ImprimartNom 2	0	campos importados : 2
2016-04-18 23:02:29.226 -0500	ContacIntelisis.fmp12	0	tablas importados : 1
2016-04-18 23:02:29.226 -0500	ContacIntelisis.fmp12	0	Importación completada
2016-04-18 23:02:29.227 -0500	ContacIntelisis.fmp12	0	Importación de operaciones consignada
2016-04-18 23:02:29.228 -0500	ContacIntelisis.fmp12	0	==================================================================
2016-04-18 23:05:12.612 -0500	ContactosParaIntelisis.fmp12	0	Importación de operaciones iniciada
2016-04-18 23:05:12.615 -0500	ContactosParaIntelisis.fmp12	0	Importación de tablas desde el archivo “ImprimartNom” iniciada
2016-04-18 23:05:12.947 -0500	ImprimartNom	0	campos importados : 283
2016-04-18 23:05:12.947 -0500	ContactosParaIntelisis.fmp12	0	tablas importados : 1
2016-04-18 23:05:12.948 -0500	ContactosParaIntelisis.fmp12	0	Importación completada
2016-04-18 23:05:12.949 -0500	ContactosParaIntelisis.fmp12	0	Importación de operaciones consignada
2016-04-18 23:05:12.949 -0500	ContactosParaIntelisis.fmp12	0	==================================================================
2016-04-21 17:04:14.166 -0500	ContactosParaIntelisis.fmp12	0	Importación de operaciones iniciada
2016-04-21 17:04:14.191 -0500	ContactosParaIntelisis.fmp12	0	Importación de tablas desde el archivo “ImprimartNom” iniciada
2016-04-21 17:04:14.193 -0500	ContactosParaIntelisis.fmp12	0	Tabla
2016-04-21 17:04:14.203 -0500	ImprimartNom 2	0	campos importados : 16
2016-04-21 17:04:14.204 -0500	ContactosParaIntelisis.fmp12	0	tablas importados : 1
2016-04-21 17:04:14.206 -0500	ContactosParaIntelisis.fmp12	0	Importación completada
2016-04-21 17:04:14.208 -0500	ContactosParaIntelisis.fmp12	0	Importación de operaciones consignada
2016-04-21 17:04:14.209 -0500	ContactosParaIntelisis.fmp12	0	==================================================================
2016-04-21 17:09:16.058 -0500	ContactosParaIntelisis.fmp12	0	Importación de operaciones iniciada
2016-04-21 17:09:16.059 -0500	ContactosParaIntelisis.fmp12	0	Importación de tablas desde el archivo “ImprimartNom” iniciada
2016-04-21 17:09:16.064 -0500	ImprimartNom	0	campos importados : 16
2016-04-21 17:09:16.065 -0500	ContactosParaIntelisis.fmp12	0	tablas importados : 1
2016-04-21 17:09:16.066 -0500	ContactosParaIntelisis.fmp12	0	Importación completada
2016-04-21 17:09:16.067 -0500	ContactosParaIntelisis.fmp12	0	Importación de operaciones consignada
2016-04-21 17:09:16.068 -0500	ContactosParaIntelisis.fmp12	0	==================================================================
2016-04-21 17:15:03.532 -0500	ContactosParaIntelisis.fmp12	0	Importación de operaciones iniciada
2016-04-21 17:16:21.196 -0500	ContactosParaIntelisis.fmp12	0	Importación de operaciones consignada
2016-04-21 17:16:21.197 -0500	ContactosParaIntelisis.fmp12	0	==================================================================
2016-04-21 17:16:55.520 -0500	ContactosParaIntelisis.fmp12	0	Importación de operaciones iniciada
2016-04-21 17:16:55.521 -0500	ContactosParaIntelisis.fmp12	0	Importación de tablas desde el archivo “ImprimartNom” iniciada
2016-04-21 17:16:55.522 -0500	ContactosParaIntelisis.fmp12	0	Tabla
2016-04-21 17:16:55.524 -0500	ImprimartNom 2	0	campos importados : 2
2016-04-21 17:16:55.528 -0500	ContactosParaIntelisis.fmp12	0	tablas importados : 1
2016-04-21 17:16:55.529 -0500	ContactosParaIntelisis.fmp12	0	Importación completada
2016-04-21 17:16:55.531 -0500	ContactosParaIntelisis.fmp12	0	Importación de operaciones consignada
2016-04-21 17:16:55.531 -0500	ContactosParaIntelisis.fmp12	0	==================================================================
2016-04-21 17:45:03.075 -0500	ContactosParaIntelisis.fmp12	0	Importación de operaciones iniciada
2016-04-21 17:45:03.077 -0500	ContactosParaIntelisis.fmp12	0	Importación de tablas desde el archivo “ImprimartNom” iniciada
2016-04-21 17:45:03.078 -0500	ContactosParaIntelisis.fmp12	0	Tabla
2016-04-21 17:45:03.085 -0500	ImprimartNom 2	0	campos importados : 7
2016-04-21 17:45:03.086 -0500	ContactosParaIntelisis.fmp12	0	tablas importados : 1
2016-04-21 17:45:03.087 -0500	ContactosParaIntelisis.fmp12	0	Importación completada
2016-04-21 17:45:03.088 -0500	ContactosParaIntelisis.fmp12	0	Importación de operaciones consignada
2016-04-21 17:45:03.089 -0500	ContactosParaIntelisis.fmp12	0	==================================================================
2016-04-21 17:59:53.901 -0500	ContactosParaIntelisis.fmp12	0	Importación de operaciones iniciada
2016-04-21 17:59:53.902 -0500	ContactosParaIntelisis.fmp12	0	Importación de tablas desde el archivo “ImprimartNom” iniciada
2016-04-21 17:59:53.903 -0500	ContactosParaIntelisis.fmp12	0	Tabla
2016-04-21 17:59:53.906 -0500	ImprimartNom 2	0	campos importados : 7
2016-04-21 17:59:53.909 -0500	ContactosParaIntelisis.fmp12	0	tablas importados : 1
2016-04-21 17:59:53.910 -0500	ContactosParaIntelisis.fmp12	0	Importación completada
2016-04-21 17:59:53.911 -0500	ContactosParaIntelisis.fmp12	0	Importación de operaciones consignada
2016-04-21 17:59:53.912 -0500	ContactosParaIntelisis.fmp12	0	==================================================================
2016-04-21 20:59:17.900 -0500	ContactosParaIntelisis.fmp12	0	Importación de operaciones iniciada
2016-04-21 20:59:17.914 -0500	ContactosParaIntelisis.fmp12	0	Importación de tablas desde el archivo “ImprimartNom” iniciada
2016-04-21 20:59:17.915 -0500	ContactosParaIntelisis.fmp12	0	Tabla
2016-04-21 20:59:17.918 -0500	ImprimartNom 3	0	campos importados : 7
2016-04-21 20:59:17.918 -0500	ContactosParaIntelisis.fmp12	0	tablas importados : 1
2016-04-21 20:59:17.919 -0500	ContactosParaIntelisis.fmp12	0	Importación completada
2016-04-21 20:59:17.920 -0500	ContactosParaIntelisis.fmp12	0	Importación de operaciones consignada
2016-04-21 20:59:17.921 -0500	ContactosParaIntelisis.fmp12	0	==================================================================
2016-04-21 21:06:01.371 -0500	ContactosParaIntelisis.fmp12	0	Importación de operaciones iniciada
2016-04-21 21:06:01.373 -0500	ContactosParaIntelisis.fmp12	0	Importación de tablas desde el archivo “ImprimartNom” iniciada
2016-04-21 21:06:01.374 -0500	ContactosParaIntelisis.fmp12	0	Tabla
2016-04-21 21:06:01.377 -0500	ImprimartNom 2	0	campos importados : 7
2016-04-21 21:06:01.378 -0500	ContactosParaIntelisis.fmp12	0	tablas importados : 1
2016-04-21 21:06:01.379 -0500	ContactosParaIntelisis.fmp12	0	Importación completada
2016-04-21 21:06:01.380 -0500	ContactosParaIntelisis.fmp12	0	Importación de operaciones consignada
2016-04-21 21:06:01.380 -0500	ContactosParaIntelisis.fmp12	0	==================================================================
2016-04-22 15:31:27.788 -0500	Intelisis.fmp12	0	Importación de operaciones iniciada
2016-04-22 15:31:27.846 -0500	Intelisis.fmp12	0	Importación de tablas desde el archivo “ImprimartNom” iniciada
2016-04-22 15:31:27.850 -0500	ImprimartNom	0	campos importados : 16
2016-04-22 15:31:27.851 -0500	Intelisis.fmp12	0	tablas importados : 1
2016-04-22 15:31:27.851 -0500	Intelisis.fmp12	0	Importación completada
2016-04-22 15:31:27.873 -0500	Intelisis.fmp12	0	Importación de operaciones consignada
2016-04-22 15:31:27.873 -0500	Intelisis.fmp12	0	==================================================================
2016-04-22 16:29:36.030 -0500	Intelisis.fmp12	0	Importación de operaciones iniciada
2016-04-22 16:29:36.031 -0500	Intelisis.fmp12	0	Importación de tablas desde el archivo “ImprimartNom” iniciada
2016-04-22 16:29:36.032 -0500	Intelisis.fmp12	0	Tabla
2016-04-22 16:29:36.034 -0500	ImprimartNom 2	0	campos importados : 7
2016-04-22 16:29:36.034 -0500	Intelisis.fmp12	0	tablas importados : 1
2016-04-22 16:29:36.035 -0500	Intelisis.fmp12	0	Importación completada
2016-04-22 16:29:36.036 -0500	Intelisis.fmp12	0	Importación de operaciones consignada
2016-04-22 16:29:36.036 -0500	Intelisis.fmp12	0	==================================================================
2016-04-25 17:14:02.755 -0500	Intelisis.fmp12	0	Importación de operaciones iniciada
2016-04-25 17:14:02.797 -0500	Intelisis.fmp12	0	Importación de tablas desde el archivo “ImprimartNom” iniciada
2016-04-25 17:14:02.799 -0500	Intelisis.fmp12	0	Tabla
2016-04-25 17:14:02.838 -0500	ImprimartNom 3	0	campos importados : 59
2016-04-25 17:14:02.839 -0500	Intelisis.fmp12	0	tablas importados : 1
2016-04-25 17:14:02.840 -0500	Intelisis.fmp12	0	Importación completada
2016-04-25 17:14:02.842 -0500	Intelisis.fmp12	0	Importación de operaciones consignada
2016-04-25 17:14:02.843 -0500	Intelisis.fmp12	0	==================================================================
2016-04-25 17:18:57.912 -0500	Intelisis.fmp12	0	Importación de operaciones iniciada
2016-04-25 17:18:57.915 -0500	Intelisis.fmp12	0	Importación de tablas desde el archivo “ImprimartNom” iniciada
2016-04-25 17:18:57.921 -0500	Intelisis.fmp12	0	Tabla
2016-04-25 17:18:57.944 -0500	ImprimartNom 3	0	campos importados : 59
2016-04-25 17:18:57.945 -0500	Intelisis.fmp12	0	tablas importados : 1
2016-04-25 17:18:57.947 -0500	Intelisis.fmp12	0	Importación completada
2016-04-25 17:18:57.948 -0500	Intelisis.fmp12	0	Importación de operaciones consignada
2016-04-25 17:18:57.948 -0500	Intelisis.fmp12	0	==================================================================
2016-04-26 16:35:11.123 -0500	Intelisis.fmp12	0	Importación de pasos de guión desde el portapapeles iniciada
2016-04-26 16:35:11.135 -0500	Intelisis.fmp12	0	Importación completada
2016-04-26 16:35:17.931 -0500	Intelisis.fmp12	0	Importación de pasos de guión desde el portapapeles iniciada
2016-04-26 16:35:17.932 -0500	Intelisis.fmp12	0	Importación completada
2016-05-02 17:04:43.752 -0500	Intelisis.fmp12	0	Importación de operaciones iniciada
